epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.32,33.2,109.86245214939117,33.8,1.09857177734375,47.094,103.49885332584381,45.6,1.0451419353485107,53.197,96.35539036989212,52.3,0.9672421216964722
0.33,33.2,109.86399054527283,33.8,1.0985603332519531,47.462,103.28829801082611,45.8,1.040015459060669,52.89,96.80409508943558,53.3,0.9693469405174255
0.34,33.2,109.86532473564148,33.8,1.09855055809021,46.771,103.88412582874298,45.9,1.0546399354934692,53.579,95.9065090417862,52.5,0.966653048992157
0.35,33.2,109.86571836471558,33.8,1.0985506772994995,47.921,102.91879510879517,48.4,1.0327049493789673,54.493,94.91009855270386,54.1,0.9573909044265747
0.36,33.2,109.86314404010773,33.8,1.0985260009765625,47.407,103.07578945159912,47.5,1.0321496725082397,54.391,95.18925547599792,53.8,0.9604895710945129
0.37,33.2,109.85672092437744,33.8,1.098502278327942,47.853,102.99760401248932,46.9,1.0315746068954468,54.222,95.37391394376755,52.3,0.9653419256210327
0.38,33.199,109.84077191352844,33.8,1.0983814001083374,48.028,102.85236501693726,46.4,1.0405501127243042,54.705,94.6272189617157,54.3,0.9518905878067017
0.39,33.2,109.80982518196106,33.8,1.0982240438461304,48.13,102.74567538499832,48.2,1.0358903408050537,54.828,94.29296398162842,54.2,0.9459221363067627
0.4,33.208,109.75655579566956,33.8,1.0978800058364868,48.288,102.59739542007446,48.7,1.031535267829895,54.387,94.84137481451035,52.4,0.9503658413887024
0.41,33.223,109.67257237434387,33.8,1.0974425077438354,48.648,102.26889503002167,49.2,1.0306414365768433,54.63,94.87635958194733,53.2,0.9595897197723389
0.42,33.383,109.54595804214478,33.9,1.0970898866653442,47.856,102.6591466665268,46.3,1.0347477197647095,54.682,94.91583758592606,53.3,0.9579906463623047
0.43,34.304,109.4038577079773,33.8,1.096909523010254,48.116,102.4728267788887,49.0,1.0296584367752075,54.98,94.46913766860962,53.4,0.9460052251815796
0.44,36.237,109.18749272823334,35.9,1.0960688591003418,48.312,102.45829963684082,48.7,1.0304681062698364,55.324,93.86358785629272,54.8,0.9436820149421692
0.45,39.312,109.13699638843536,36.1,1.0954922437667847,48.098,102.3294175863266,49.0,1.0237748622894287,54.856,94.2378278374672,54.9,0.947207510471344
0.46,39.78,109.19980871677399,38.7,1.0938047170639038,47.58,103.10431283712387,47.0,1.038682222366333,54.304,94.84570145606995,55.4,0.9475809931755066
0.47,40.285,108.96744894981384,38.0,1.092012643814087,49.05,101.7385590672493,48.0,1.0213679075241089,55.194,93.71930491924286,55.8,0.9383140206336975
0.48,39.564,108.6605566740036,38.6,1.094117522239685,46.469,104.4568954706192,46.5,1.0488817691802979,55.775,93.0758518576622,55.9,0.929611325263977
0.49,38.362,109.62823903560638,36.3,1.1062610149383545,49.084,101.71922552585602,50.5,1.0203477144241333,55.781,93.13171780109406,55.3,0.9321613907814026
0.5,38.857,108.99012184143066,37.6,1.1016814708709717,48.344,102.2034353017807,48.8,1.0195426940917969,55.634,93.1722531914711,55.2,0.9404517412185669
0.51,40.595,108.37687838077545,39.8,1.0891013145446777,47.951,102.57772850990295,47.2,1.0373919010162354,55.432,93.39182382822037,53.2,0.9397681355476379
0.52,40.946,108.26293408870697,40.1,1.091339349746704,48.48,102.20381128787994,49.0,1.0228922367095947,55.36,93.16687178611755,54.0,0.9415484070777893
0.53,40.653,108.30591821670532,38.3,1.0898035764694214,49.522,101.57097852230072,49.6,1.022700309753418,55.992,92.48285275697708,55.6,0.9255897998809814
0.54,40.845,108.09015679359436,39.2,1.0883219242095947,48.364,102.39644253253937,47.1,1.0301059484481812,56.148,92.36403423547745,57.7,0.9243122935295105
0.55,41.128,107.77704572677612,40.3,1.0826516151428223,49.492,101.56919771432877,48.7,1.0292211771011353,55.813,92.64994430541992,55.5,0.9325899481773376
0.56,40.961,107.7476749420166,38.7,1.086769700050354,49.22,101.63853859901428,48.1,1.0234140157699585,55.87,92.59900337457657,56.4,0.9272783398628235
0.57,40.728,107.75047445297241,37.9,1.0934962034225464,48.501,102.02175408601761,47.3,1.0243141651153564,56.277,91.9203668832779,55.7,0.9162045121192932
0.58,41.11,107.42699921131134,40.2,1.081088662147522,49.375,101.49732613563538,48.4,1.0259538888931274,56.603,91.60427331924438,56.6,0.9241955280303955
0.59,38.276,108.7051454782486,37.5,1.0913777351379395,49.772,101.10120046138763,49.3,1.0129705667495728,56.766,91.39403796195984,56.9,0.9073277711868286
0.6,41.068,107.68293011188507,39.2,1.0903823375701904,49.526,101.4307512640953,48.4,1.0177019834518433,57.026,91.09244281053543,56.6,0.9061435461044312
