epoch,hidden_size_50_train_acc,hidden_size_50_train_loss,hidden_size_50_val_acc,hidden_size_50_val_loss,hidden_size_100_train_acc,hidden_size_100_train_loss,hidden_size_100_val_acc,hidden_size_100_val_loss,hidden_size_250_train_acc,hidden_size_250_train_loss,hidden_size_250_val_acc,hidden_size_250_val_loss,hidden_size_500_train_acc,hidden_size_500_train_loss,hidden_size_500_val_acc,hidden_size_500_val_loss,hidden_size_1000_train_acc,hidden_size_1000_train_loss,hidden_size_1000_val_acc,hidden_size_1000_val_loss
0.21,42.306,107.47300708293915,41.2,1.0761284828186035,47.559,105.19732177257538,45.9,1.057982325553894,50.094,101.54470336437225,49.6,1.0252654552459717,50.531,99.97707378864288,50.1,0.9878191947937012,50.658,100.20673608779907,51.0,1.0096882581710815
0.22,42.869,107.20841526985168,41.4,1.075575590133667,46.815,104.86618745326996,46.9,1.0489863157272339,49.505,101.53379189968109,48.5,1.0333362817764282,49.009,100.85216534137726,48.3,1.0012938976287842,51.239,99.5353491306305,51.0,1.0128644704818726
0.23,42.944,106.97237038612366,42.2,1.0718437433242798,47.118,104.48781478404999,46.5,1.0521419048309326,50.995,100.4980519413948,50.8,1.0208076238632202,50.865,99.49924886226654,52.1,0.9910650849342346,50.843,99.73894339799881,49.5,1.0118284225463867
0.24,43.808,106.69879162311554,42.5,1.070036768913269,49.514,103.85167872905731,48.6,1.0422344207763672,51.11,99.7496428489685,50.6,1.0063740015029907,51.182,99.56965774297714,52.3,1.0006303787231445,51.127,99.4008457660675,51.6,0.9962998032569885
0.25,44.261,106.4570562839508,45.0,1.0676276683807373,48.954,103.43257141113281,49.4,1.0422827005386353,49.344,100.24350988864899,48.6,1.0136295557022095,52.35,98.3852174282074,51.8,0.9902691841125488,52.261,98.77965372800827,50.0,0.9873277544975281
0.26,45.007,106.20888936519623,44.5,1.067428469657898,48.224,103.03227603435516,47.8,1.0340737104415894,50.373,99.53695923089981,49.1,1.0074595212936401,51.991,98.1279645562172,51.1,0.990328311920166,52.593,98.19781732559204,50.5,0.9944230914115906
0.27,46.009,105.96114265918732,45.1,1.064928412437439,47.653,102.65723037719727,44.0,1.043837308883667,51.905,98.58908355236053,51.4,0.9945541620254517,52.163,98.01525467634201,52.7,0.9932249784469604,52.027,98.21491837501526,52.2,0.9935504794120789
0.28,45.387,105.80655014514923,44.5,1.0651065111160278,46.898,102.51554590463638,45.0,1.0371133089065552,51.96,98.67440444231033,53.3,0.9902225732803345,52.276,97.83797037601471,53.2,0.975160539150238,51.553,98.30978614091873,51.6,0.9935846924781799
0.29,45.169,105.57288193702698,45.3,1.0601460933685303,46.625,102.40569370985031,45.0,1.032331109046936,52.705,98.16609185934067,53.3,0.9890362620353699,53.516,96.93328267335892,53.3,0.9804866313934326,52.244,97.7633667588234,53.0,0.9730855226516724
0.3,45.791,105.27271366119385,46.4,1.058640956878662,47.594,101.89242297410965,45.4,1.036483645439148,53.547,97.23113828897476,53.4,0.9797892570495605,52.002,97.87001556158066,50.0,0.9861383438110352,53.004,97.10744607448578,52.7,0.9676855206489563
0.31,46.557,104.88582074642181,47.1,1.0565298795700073,48.566,101.58288079500198,47.2,1.0309783220291138,52.591,97.76400709152222,52.0,0.9828439950942993,53.494,96.71801841259003,52.6,0.981181800365448,53.097,97.57685309648514,52.5,0.9776110649108887
0.32,46.73,104.62025034427643,45.9,1.054176926612854,49.182,101.64225977659225,49.5,1.0190062522888184,52.008,97.88920819759369,52.2,0.9905717968940735,53.903,96.4328344464302,52.8,0.9819169640541077,53.412,97.19015181064606,53.1,0.9623126983642578
0.33,45.56,104.50439846515656,45.4,1.0500420331954956,50.463,101.00537514686584,51.2,1.012080430984497,53.18,96.67536246776581,53.7,0.9734178185462952,53.144,97.04336059093475,52.3,0.9755513668060303,53.449,96.81384509801865,53.5,0.970488429069519
0.34,44.956,104.44514846801758,43.8,1.05589759349823,51.473,100.37411296367645,50.0,1.011531949043274,53.743,96.25804650783539,54.4,0.9767739772796631,53.335,96.482561647892,53.2,0.9744431376457214,53.737,96.26136964559555,51.1,0.9746419787406921
0.35,45.317,103.97079682350159,43.6,1.047188639640808,51.094,100.51847159862518,51.0,1.0158405303955078,53.974,96.73521274328232,54.8,0.9617959856987,53.833,95.81265658140182,52.9,0.9696242213249207,53.865,95.81842631101608,53.3,0.9595032930374146
0.36,46.144,103.71106576919556,44.8,1.0493630170822144,51.378,100.17737418413162,50.9,1.007616639137268,54.214,96.154805123806,55.4,0.9672155380249023,53.919,95.66348767280579,52.8,0.971413254737854,53.651,95.9258503317833,52.6,0.9762392044067383
0.37,47.542,103.30555057525635,47.2,1.051633358001709,51.671,99.61379444599152,50.3,0.9982350468635559,54.115,95.71655178070068,53.1,0.9705632328987122,54.251,95.26958394050598,53.0,0.9627578258514404,53.861,95.64269614219666,52.3,0.9679593443870544
0.38,48.415,103.09625041484833,46.4,1.042191743850708,52.015,99.00826752185822,51.4,1.0007576942443848,53.902,95.81814366579056,55.3,0.9633641242980957,55.018,94.81345319747925,53.9,0.9630959033966064,54.173,95.33080041408539,53.2,0.9623231887817383
0.39,48.239,103.18290370702744,45.1,1.0438858270645142,52.127,98.72171914577484,52.6,0.998917281627655,53.733,95.7635098695755,52.5,0.9674789905548096,54.337,95.64236462116241,55.1,0.9601690769195557,54.446,94.87319952249527,54.2,0.9565386176109314
0.4,48.4,103.0667827129364,48.2,1.0408865213394165,52.438,98.42884033918381,50.3,0.9939931631088257,53.688,95.66516864299774,52.7,0.9743282794952393,54.548,95.35246098041534,55.1,0.9547768235206604,54.308,94.95097315311432,55.2,0.9484480023384094
0.41,48.463,102.58244848251343,45.6,1.0391802787780762,52.681,98.31707578897476,53.4,0.9917330145835876,54.098,95.33621537685394,54.1,0.963083803653717,54.74,94.60377669334412,55.3,0.954059898853302,54.664,94.5760086774826,54.4,0.9522884488105774
0.42,47.774,102.40293908119202,45.7,1.0390654802322388,53.014,97.95777195692062,53.5,0.9748376607894897,54.91,94.94996893405914,56.2,0.9512991309165955,54.232,94.7709419131279,56.1,0.9550662040710449,54.86,94.15688771009445,52.5,0.9639197587966919
0.43,47.09,102.35192334651947,45.5,1.0414116382598877,53.427,97.47592002153397,54.4,0.9782735705375671,55.276,94.56676375865936,55.1,0.9423461556434631,54.338,94.6671262383461,55.6,0.9486441016197205,54.85,94.17031061649323,55.3,0.9473263621330261
0.44,47.01,102.28829246759415,45.1,1.0429531335830688,53.571,97.0326834321022,53.6,0.9739720821380615,55.329,94.33007502555847,54.6,0.9596577286720276,54.493,94.52879053354263,53.9,0.9600407481193542,55.021,94.02557837963104,53.1,0.947557270526886
0.45,48.152,102.08933579921722,45.5,1.0444642305374146,53.189,96.98834717273712,54.4,0.9699005484580994,55.029,94.44739127159119,54.9,0.9563472867012024,55.024,94.08429098129272,52.9,0.9519836902618408,55.39,93.61750340461731,53.9,0.949609637260437
0.46,50.083,101.56075912714005,47.3,1.035360336303711,53.221,96.90770077705383,53.4,0.976180911064148,54.566,94.6370198726654,55.9,0.9529638886451721,55.834,93.49131464958191,55.4,0.9442906379699707,55.442,93.6304959654808,55.1,0.940365731716156
0.47,49.911,101.64822775125504,47.3,1.0330162048339844,53.398,96.67513287067413,52.6,0.9822410345077515,55.557,93.81472700834274,56.2,0.9550002217292786,55.919,93.23138165473938,55.6,0.9430146813392639,55.3,93.65953409671783,55.1,0.9362768530845642
0.48,48.757,101.43091034889221,49.2,1.0286146402359009,53.983,96.0554780960083,53.9,0.9623727202415466,55.928,93.46486169099808,56.7,0.940321147441864,56.128,93.13087123632431,53.2,0.9521065354347229,55.329,93.55842506885529,53.7,0.9352145791053772
0.49,48.068,101.02917218208313,48.4,1.021459698677063,54.394,95.76667028665543,54.8,0.9727699160575867,56.071,93.31556683778763,55.7,0.943962037563324,55.696,93.29420703649521,56.1,0.9322868585586548,56.121,92.73140156269073,55.6,0.9372616410255432
0.5,48.038,100.80170756578445,47.1,1.023111343383789,54.554,95.46731728315353,55.9,0.9467915892601013,56.026,93.30141508579254,56.2,0.932933509349823,56.065,92.87765127420425,56.5,0.9295202493667603,55.346,93.15764957666397,56.1,0.9393435120582581
0.51,47.798,100.83681708574295,46.7,1.024056077003479,54.544,95.39591211080551,53.8,0.9630321860313416,56.252,93.28575986623764,55.3,0.9437494277954102,56.373,92.43032109737396,56.5,0.932438850402832,55.568,92.97463965415955,56.2,0.9363729953765869
0.52,48.62,100.60865843296051,47.4,1.0218738317489624,54.739,95.17810374498367,54.7,0.9559129476547241,56.542,92.80761730670929,56.9,0.9426889419555664,56.296,92.40319365262985,55.7,0.9349022507667542,55.659,93.16664755344391,54.7,0.9521058201789856
0.53,50.384,100.29259133338928,50.6,1.023339867591858,54.999,94.62658083438873,55.2,0.9611296653747559,56.382,92.73814952373505,56.7,0.9422784447669983,56.453,92.32271248102188,55.7,0.9367555379867554,56.083,92.88880574703217,57.1,0.9342513680458069
0.54,52.084,99.97374230623245,52.4,1.0168761014938354,54.734,94.6259776353836,54.3,0.9484514594078064,56.195,92.79936993122101,56.6,0.9388952851295471,56.727,91.78342932462692,56.6,0.9308956265449524,55.804,92.969879925251,53.7,0.946449339389801
0.55,52.114,99.87963056564331,50.7,1.00751793384552,54.171,94.95445477962494,53.4,0.9614573121070862,56.245,92.68720030784607,55.7,0.9498230814933777,56.81,91.89506441354752,56.1,0.9289031028747559,55.648,92.93094599246979,54.2,0.9294239282608032
0.56,51.392,99.74605625867844,50.5,1.0123469829559326,54.763,94.56125432252884,54.2,0.9585298895835876,56.561,92.45972454547882,55.2,0.9372339248657227,56.757,91.8772783279419,57.4,0.9203059673309326,55.756,92.90574300289154,54.1,0.9408220052719116
0.57,51.152,99.53662502765656,49.2,1.008557915687561,55.203,94.1197652220726,55.6,0.9575182199478149,56.495,92.22713899612427,56.3,0.9361525177955627,56.919,91.62400269508362,56.8,0.913945734500885,56.541,92.04048055410385,57.5,0.9196115732192993
0.58,50.517,99.39912283420563,49.8,1.0030773878097534,55.357,93.99260973930359,56.0,0.9520849585533142,56.697,92.2647716999054,57.4,0.9264400005340576,57.116,91.33362019062042,56.2,0.9195545315742493,56.437,92.36578440666199,56.0,0.9303526878356934
0.59,50.005,99.33514070510864,48.7,1.003382682800293,55.394,94.10540974140167,55.1,0.9528494477272034,56.72,92.06810665130615,56.4,0.9389225840568542,57.169,91.28518253564835,57.0,0.9191847443580627,56.289,92.39028894901276,55.8,0.9351240396499634
0.6,50.512,99.18528026342392,48.3,1.004984736442566,55.394,94.02409648895264,53.9,0.9534666538238525,56.78,91.92478930950165,57.4,0.9288880825042725,57.199,91.22483205795288,57.0,0.9160585999488831,56.436,91.73604822158813,54.8,0.9392249584197998
0.61,51.039,98.96334671974182,50.4,1.001728892326355,55.368,93.73680531978607,56.0,0.950660765171051,57.087,91.72908091545105,55.7,0.9312672019004822,57.061,91.32153242826462,57.2,0.9165549278259277,56.683,91.64511984586716,56.9,0.9126622676849365
