epoch,dropout_0_train_acc,dropout_0_train_loss,dropout_0_val_acc,dropout_0_val_loss,dropout_0.1_train_acc,dropout_0.1_train_loss,dropout_0.1_val_acc,dropout_0.1_val_loss,dropout_0.3_train_acc,dropout_0.3_train_loss,dropout_0.3_val_acc,dropout_0.3_val_loss,dropout_0.5_train_acc,dropout_0.5_train_loss,dropout_0.5_val_acc,dropout_0.5_val_loss,dropout_0.7_train_acc,dropout_0.7_train_loss,dropout_0.7_val_acc,dropout_0.7_val_loss,dropout_0.9_train_acc,dropout_0.9_train_loss,dropout_0.9_val_acc,dropout_0.9_val_loss
0.11,42.781,108.155726313591,42.7,1.082835078239441,40.57,108.22676968574524,38.0,1.0844064950942993,38.855,108.81748938560486,38.0,1.0889289379119873,37.439,109.32179629802704,38.4,1.0934815406799316,33.952,109.620312333107,34.4,1.0968730449676514,33.2,109.87423861026764,33.8,1.0986278057098389
0.12,44.019,107.5284743309021,44.7,1.0768264532089233,42.528,107.74603629112244,39.7,1.0799511671066284,42.036,108.36010110378265,38.7,1.0846461057662964,41.68,109.18553352355957,43.2,1.092256784439087,37.051,109.62388324737549,35.4,1.0970549583435059,33.2,109.87179172039032,33.8,1.0986086130142212
0.13,47.484,106.42769849300385,47.2,1.0662320852279663,45.349,106.99572098255157,43.2,1.0728092193603516,51.335,107.9454095363617,50.6,1.0808714628219604,42.699,109.00380754470825,44.5,1.0905195474624634,39.326,109.59948146343231,36.6,1.09691321849823,33.2,109.86928629875183,33.8,1.098585605621338
0.14,52.961,105.34435975551605,52.1,1.055855393409729,49.31,106.03291344642639,49.3,1.0637178421020508,46.146,107.54865610599518,44.8,1.0772215127944946,44.116,108.78982663154602,45.3,1.088490605354309,40.702,109.51219594478607,38.3,1.096042513847351,33.2,109.86701798439026,33.8,1.0985691547393799
0.15,51.652,104.29840433597565,50.0,1.0459985733032227,46.305,105.21799004077911,43.7,1.0563393831253052,46.333,106.83288264274597,44.5,1.07036554813385,45.556,108.50781893730164,46.2,1.0857539176940918,40.968,109.39019024372101,38.6,1.0948015451431274,33.2,109.863778591156,33.8,1.0985450744628906
0.16,52.109,102.81810164451599,50.5,1.0319294929504395,45.665,104.20295870304108,42.9,1.0469635725021362,47.471,105.97819745540619,48.3,1.062151312828064,46.396,108.12548446655273,46.7,1.0819604396820068,42.204,109.2381364107132,39.3,1.093255639076233,33.2,109.86061429977417,33.8,1.0985227823257446
0.17,50.871,101.23102974891663,50.5,1.0166113376617432,46.771,103.15389084815979,46.7,1.0365278720855713,50.003,104.91622817516327,48.5,1.051827073097229,45.484,107.64023315906525,45.6,1.0772463083267212,49.017,109.07610559463501,48.8,1.091580867767334,33.2,109.85830390453339,33.8,1.0985106229782104
0.18,48.001,100.8679084777832,47.2,1.0132924318313599,47.683,102.65116721391678,47.8,1.0312378406524658,50.625,103.76965093612671,47.7,1.040436029434204,44.724,107.09017789363861,45.8,1.0720070600509644,43.905,108.91421902179718,39.9,1.0899324417114258,33.2,109.85643005371094,33.8,1.0985037088394165
0.19,50.621,99.07522946596146,51.0,0.996169924736023,50.159,101.24617159366608,49.4,1.0197265148162842,49.702,102.71319925785065,48.3,1.029179334640503,45.397,106.43082821369171,45.5,1.0656825304031372,40.337,108.73449456691742,38.5,1.0880978107452393,33.2,109.8551025390625,33.8,1.0984963178634644
0.2,53.422,97.80969578027725,53.2,0.9844003915786743,49.113,101.37958425283432,46.9,1.0243024826049805,49.22,102.27663016319275,48.8,1.0230638980865479,46.862,105.70870089530945,46.0,1.0586445331573486,39.598,108.52852821350098,38.3,1.0860841274261475,33.2,109.8539764881134,33.8,1.098491907119751
0.21,52.171,98.44519364833832,50.9,0.994404673576355,50.286,100.50450479984283,47.7,1.0160331726074219,50.099,101.0714927315712,50.1,1.0112497806549072,47.189,104.91735899448395,46.8,1.0507928133010864,39.836,108.28397786617279,38.3,1.0838172435760498,33.2,109.8526371717453,33.8,1.098486065864563
0.22,54.054,96.35010200738907,54.0,0.969877302646637,51.621,98.97067266702652,52.3,0.9982748031616211,51.189,99.70507502555847,49.4,1.000343918800354,47.598,104.16531562805176,47.4,1.0428975820541382,41.972,107.97935092449188,39.9,1.0809822082519531,33.2,109.85163950920105,33.8,1.0984854698181152
0.23,52.418,97.23215639591217,53.0,0.9762837886810303,51.529,99.01594239473343,52.2,0.9971820116043091,51.849,99.06627827882767,51.1,0.9946286678314209,47.61,103.45393204689026,46.5,1.0351201295852661,44.4,107.66210877895355,42.4,1.077880620956421,33.2,109.85048270225525,33.8,1.0984816551208496
0.24,53.938,95.54769736528397,53.5,0.9627096056938171,53.336,97.40326941013336,53.3,0.983684241771698,51.464,98.69768702983856,51.3,0.9901507496833801,47.603,102.82759916782379,46.8,1.0282983779907227,46.713,107.31022655963898,46.3,1.0744085311889648,33.199,109.84928095340729,33.8,1.0984792709350586
