epoch,scheme_mult_train_acc,scheme_mult_train_loss,scheme_mult_val_acc,scheme_mult_val_loss,scheme_add_train_acc,scheme_add_train_loss,scheme_add_val_acc,scheme_add_val_loss,scheme_cat_train_acc,scheme_cat_train_loss,scheme_cat_val_acc,scheme_cat_val_loss
0.47,51.659,99.97799676656723,52.2,1.0005699396133423,51.15,100.00145155191422,50.0,0.9998599290847778,59.81,87.99604141712189,58.7,0.8977407217025757
0.48,49.222,100.99496644735336,48.9,1.012215256690979,49.638,100.81128537654877,49.2,1.0079379081726074,59.319,88.89993625879288,58.3,0.9062777161598206
0.49,49.419,100.50643587112427,49.7,1.0052194595336914,50.271,100.37586331367493,49.8,1.0035457611083984,59.866,87.95986157655716,58.5,0.895447850227356
0.5,50.491,100.03896862268448,51.2,0.9993802905082703,51.828,99.21432864665985,51.5,0.9916839003562927,60.119,87.2096728682518,58.9,0.8878072500228882
0.51,52.187,99.27821660041809,52.8,0.9926167130470276,51.193,99.3780289888382,50.1,0.9932020306587219,58.334,88.66939324140549,57.1,0.9032751321792603
0.52,51.852,99.31982660293579,52.6,0.9936591982841492,50.772,99.45055514574051,50.6,0.9961899518966675,58.652,88.2941797375679,58.0,0.8989543318748474
0.53,50.992,99.65135306119919,51.6,0.9969292879104614,50.202,99.77556490898132,49.6,1.0005661249160767,60.346,86.80658006668091,59.8,0.8850913643836975
0.54,51.341,99.31502205133438,51.1,0.9932313561439514,50.821,99.4129747748375,50.0,0.9967637658119202,60.485,86.85539674758911,60.3,0.8866744637489319
0.55,52.422,98.65602099895477,51.4,0.9867572784423828,52.484,98.45292311906815,52.4,0.9862053394317627,60.512,87.01159060001373,60.3,0.8888278007507324
0.56,52.323,98.6360439658165,52.1,0.986602246761322,53.009,98.1522569656372,52.1,0.9819849729537964,60.716,86.30692946910858,60.4,0.8827053308486938
0.57,51.428,98.95079308748245,51.7,0.9905657172203064,52.395,98.50683706998825,51.2,0.9843220114707947,60.142,86.78301841020584,59.4,0.8880652785301208
0.58,51.239,98.88447487354279,51.2,0.9930716753005981,52.775,98.26996594667435,52.0,0.9825959801673889,60.311,86.38441932201385,60.4,0.8812272548675537
0.59,51.708,98.50013035535812,51.2,0.9889427423477173,53.274,97.80959910154343,52.7,0.9781363606452942,60.17,86.7844849228859,59.6,0.881332516670227
0.6,52.867,97.87561625242233,52.3,0.9829809665679932,53.327,97.51040881872177,52.5,0.9753226637840271,60.15,86.95902836322784,59.4,0.8823249340057373
0.61,52.536,98.05740183591843,52.3,0.9847492575645447,53.302,97.36693006753922,52.6,0.9748780727386475,61.081,85.66476482152939,60.9,0.8720506429672241
0.62,51.226,99.32026934623718,50.7,0.9944108724594116,53.224,97.58836430311203,53.2,0.9785475730895996,61.052,85.59716266393661,60.5,0.8769762516021729
0.63,52.486,97.92385077476501,51.8,0.9824400544166565,53.548,97.21951067447662,52.4,0.9751843810081482,61.013,85.61772394180298,60.4,0.8775049448013306
0.64,52.948,97.68286788463593,52.5,0.9830191135406494,52.622,97.90541070699692,51.4,0.9794748425483704,61.527,85.0848942399025,61.0,0.8696768879890442
0.65,51.02,99.14035612344742,51.1,0.9963055849075317,53.982,96.80902087688446,53.5,0.9693801403045654,61.667,84.98449832201004,61.5,0.8656972646713257
0.66,50.349,100.32430064678192,50.8,1.0024510622024536,53.348,97.56998765468597,53.3,0.9779503345489502,61.505,85.1072324514389,61.2,0.8657408356666565
0.67,52.864,98.10097724199295,52.0,0.987273097038269,54.167,96.60906720161438,53.7,0.9688147902488708,61.705,84.90196806192398,60.9,0.8639087677001953
0.68,51.533,99.30533879995346,51.4,0.9984415173530579,54.411,96.27255290746689,53.5,0.9663237929344177,61.735,84.7892354130745,61.6,0.866577684879303
0.69,52.69,97.65505850315094,52.3,0.9754067063331604,53.992,96.41194796562195,52.0,0.9679269194602966,61.604,84.92466539144516,60.5,0.8691260814666748
0.7,48.85,101.47208672761917,48.4,1.0062813758850098,53.91,96.50279694795609,52.7,0.9693689346313477,61.809,84.53045624494553,61.0,0.8639549016952515
0.71,53.217,97.24002480506897,52.0,0.9700421094894409,54.257,96.27450132369995,53.1,0.9668154716491699,61.888,84.35937964916229,60.6,0.8597585558891296
0.72,51.35,99.54119282960892,51.2,1.0009678602218628,54.674,95.74635553359985,54.4,0.9593867659568787,61.804,84.54885512590408,60.8,0.8590803742408752
0.73,49.496,101.8029716014862,50.5,1.0257114171981812,54.614,95.88967448472977,54.0,0.9590169787406921,61.85,84.50899612903595,61.9,0.8583510518074036
0.74,52.69,98.52966582775116,53.1,0.9901764988899231,54.524,95.85211980342865,54.1,0.9577952027320862,62.122,84.18921184539795,61.6,0.8559021353721619
0.75,53.741,97.29923379421234,52.1,0.9728407263755798,54.572,95.58972162008286,53.6,0.954909086227417,62.266,83.97648394107819,61.5,0.855535089969635
0.76,50.522,99.67587971687317,50.2,0.9921053647994995,55.227,95.256367623806,54.9,0.953352153301239,61.8,84.36650377511978,60.9,0.8620062470436096
0.77,51.147,99.22423070669174,50.2,0.9884848594665527,55.178,95.25925248861313,55.3,0.9535786509513855,62.146,84.04489433765411,61.3,0.8575693368911743
0.78,53.379,97.6467302441597,53.4,0.9768452048301697,54.991,95.13024455308914,53.8,0.9508928060531616,62.348,83.883624792099,61.5,0.8526597619056702
0.79,53.246,97.91166353225708,52.7,0.9828914999961853,55.314,94.89303356409073,54.0,0.9471650719642639,62.049,84.35706621408463,61.7,0.8552747368812561
0.8,52.719,98.5285375714302,52.7,0.9910889267921448,55.273,94.91898036003113,53.9,0.9469003081321716,62.204,84.2572757601738,60.8,0.8553416132926941
0.81,52.584,98.29472309350967,52.7,0.9894155859947205,55.441,94.69281649589539,54.2,0.945025622844696,62.488,83.85158205032349,61.2,0.8537397384643555
0.82,53.394,97.50108075141907,52.1,0.9800191521644592,55.795,94.40162193775177,55.9,0.9429932236671448,62.39,83.74843275547028,60.9,0.8572325110435486
